url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,Instrument Technician,Harvest E&I Engineering Sdn. Bhd.,"MYR1,800 - MYR6,000 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,800 - MYR6,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Material Controller (E-I),Harvest E&I Engineering Sdn. Bhd.,"MYR1,800 - MYR5,000 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,800 - MYR5,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,ZOS Admin,Lavu Tech Solutions Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Shift Supervisor,Baskin-Robbins,"MYR1,850 - MYR2,500 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,850 - MYR2,500 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Freelance Teacher (Teach 2-5 Hrs Per Day Only),Grownce Sdn Bhd,"MYR1,000 - MYR2,000 Sebulan","Sepenuh Masa,",Kuala Selangor,"MYR1,000 - MYR2,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,POST BASIC RENAL - HAEMODIALYSIS STAFF NURSE - MEDICAL ASSISTANT,Al-Musoffa Haemodialysis Centre (KL) Sdn Bhd - Cawangan Ijok,"MYR1,700 - MYR3,500 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,700 - MYR3,500 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Quantity Surveyor,Cheksern Young Builders Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Accounts Payable Clerk,Quantum,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Site Supervisor,Cheksern Young Builders Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Assistant Technical Manager,Cheksern Young Builders Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Environmental Officer - Ijok,Advancecon Infra Sdn Bhd,"MYR4,000 - MYR4,000 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR4,000 - MYR4,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Executive Commercial Support,Foresight Industries Sdn Bhd,"MYR2,500 - MYR2,800 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,500 - MYR2,800 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Manual Tester,Lavu Tech Solutions Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Data Center Technician - Malaysia - Kuching - On-site,Reboot Monkey,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,SITE SAFETY SUPERVISOR,IKRAR JAYA BINA SDN BHD,"MYR4,000 - MYR4,000 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR4,000 - MYR4,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,CIVIL SITE SUPERVISOR,IKRAR JAYA BINA SDN BHD,"MYR2,200 - MYR2,200 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,200 - MYR2,200 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Lorry Driver Cum General Worker,Rurutiki Sdn Bhd,"MYR2,400 - MYR2,400 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,400 - MYR2,400 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Management Trainee,LTH Group Asia Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,000 - MYR5,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Customer Service Representative,Multi-Trans Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Brew Crew - Eco Grandeur,The Coffee Bean & Tea Leaf (M) Sdn Bhd,"MYR2,100 - MYR2,100 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,100 - MYR2,100 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Kilang Operator (Cosmetic) - Ijok,Data Management,"MYR1,700 - MYR1,800 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,700 - MYR1,800 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Kilang Operator (Cosmetics) - Ijok,TLV Logistics Sdn Bhd,"MYR1,700 - MYR1,800 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,700 - MYR1,800 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/6578625-barista-mcdonalds-pandu-lalu-shell-saujana-utama,6578625,Barista ( McDonald’s Pandu Lalu Shell Saujana Utama ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Kuala Selangor, Selangor","Up to MYR1,500 Sebulan",a month ago,Any Skill,sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/17979765-health-advisor-medan-niaga-kuala-sel,17979765,Health Advisor ( MEDAN NIAGA KUALA SEL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Kuala Selangor, Selangor","Up to MYR2,100 Sebulan",9 days ago,Any Skill,sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/25105345-retail-sales,25105345,Retail Sales,SSF Sdn Bhd,"MYR1,800 - MYR2,500 Sebulan",Sepenuh Masa,"Kuala Selangor, Selangor","MYR1,800 - MYR2,500 Sebulan",22 days ago,"Sales Techniques, Sales Strategy",sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/25190592-jualan-runcit,25190592,Jualan Runcit,SSF Sdn Bhd,"MYR1,800 - MYR2,200 Sebulan",Sepenuh Masa,"Kuala Selangor, Selangor","MYR1,800 - MYR2,200 Sebulan",5 months ago,"Inventory Management, Customer Service",sepenuh-masa-kuala-selangor
N/A,N/A,R-D Executive (Food Innovation - NPD),Randstad Malaysia,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,3 days ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Data Center Technician - Malaysia - Kuching - On-site,Reboot Monkey,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Document Controller,Harvest E&I Engineering Sdn. Bhd.,"MYR2,036.43 - MYR4,637.11 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,036.43 - MYR4,637.11 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Project Planner (Oil - Gas – Primavera P6),Harvest E&I Engineering Sdn. Bhd.,"MYR2,262.71 - MYR7,182.42 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,262.71 - MYR7,182.42 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Instrument Technician,Harvest E&I Engineering Sdn. Bhd.,"MYR1,800 - MYR6,000 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,800 - MYR6,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Material Controller (E-I),Harvest E&I Engineering Sdn. Bhd.,"MYR1,800 - MYR5,000 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,800 - MYR5,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,ZOS Admin,Lavu Tech Solutions Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Shift Supervisor,Baskin-Robbins,"MYR1,850 - MYR2,500 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,850 - MYR2,500 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Freelance Teacher (Teach 2-5 Hrs Per Day Only),Grownce Sdn Bhd,"MYR1,000 - MYR2,000 Sebulan","Sepenuh Masa,",Kuala Selangor,"MYR1,000 - MYR2,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,POST BASIC RENAL - HAEMODIALYSIS STAFF NURSE - MEDICAL ASSISTANT,Al-Musoffa Haemodialysis Centre (KL) Sdn Bhd - Cawangan Ijok,"MYR1,700 - MYR3,500 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,700 - MYR3,500 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Quantity Surveyor,Cheksern Young Builders Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Accounts Payable Clerk,Quantum,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Site Supervisor,Cheksern Young Builders Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Assistant Technical Manager,Cheksern Young Builders Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Environmental Officer - Ijok,Advancecon Infra Sdn Bhd,"MYR4,000 - MYR4,000 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR4,000 - MYR4,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Executive Commercial Support,Foresight Industries Sdn Bhd,"MYR2,500 - MYR2,800 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,500 - MYR2,800 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Manual Tester,Lavu Tech Solutions Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Data Center Technician - Malaysia - Kuching - On-site,Reboot Monkey,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,SITE SAFETY SUPERVISOR,IKRAR JAYA BINA SDN BHD,"MYR4,000 - MYR4,000 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR4,000 - MYR4,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,CIVIL SITE SUPERVISOR,IKRAR JAYA BINA SDN BHD,"MYR2,200 - MYR2,200 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,200 - MYR2,200 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Lorry Driver Cum General Worker,Rurutiki Sdn Bhd,"MYR2,400 - MYR2,400 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,400 - MYR2,400 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Management Trainee,LTH Group Asia Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,000 - MYR5,000 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Customer Service Representative,Multi-Trans Sdn Bhd,Undisclosed,Sepenuh Masa,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Brew Crew - Eco Grandeur,The Coffee Bean & Tea Leaf (M) Sdn Bhd,"MYR2,100 - MYR2,100 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR2,100 - MYR2,100 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Kilang Operator (Cosmetic) - Ijok,Data Management,"MYR1,700 - MYR1,800 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,700 - MYR1,800 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Kilang Operator (Cosmetics) - Ijok,TLV Logistics Sdn Bhd,"MYR1,700 - MYR1,800 Sebulan",Sepenuh Masa,Kuala Selangor,"MYR1,700 - MYR1,800 Sebulan",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/6578625-barista-mcdonalds-pandu-lalu-shell-saujana-utama,6578625,Barista ( McDonald’s Pandu Lalu Shell Saujana Utama ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Per Month",N/A,"Kuala Selangor, Selangor","Up to MYR1,500 Per Month",a month ago,Any Skill,sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/17979765-health-advisor-medan-niaga-kuala-sel,17979765,Health Advisor ( MEDAN NIAGA KUALA SEL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kuala Selangor, Selangor","Up to MYR2,100 Per Month",9 days ago,Any Skill,sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/25105345-retail-sales,25105345,Retail Sales,SSF Sdn Bhd,"MYR1,800 - MYR2,500 Per Month",Full Time,"Kuala Selangor, Selangor","MYR1,800 - MYR2,500 Per Month",22 days ago,"Sales Techniques, Sales Strategy",sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/25190592-jualan-runcit,25190592,Jualan Runcit,SSF Sdn Bhd,"MYR1,800 - MYR2,200 Per Month",Full Time,"Kuala Selangor, Selangor","MYR1,800 - MYR2,200 Per Month",5 months ago,"Inventory Management, Customer Service",sepenuh-masa-kuala-selangor
N/A,N/A,R-D Executive (Food Innovation - NPD),Randstad Malaysia,Undisclosed,Full Time,Kuala Selangor,Undisclosed,3 days ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Data Center Technician - Malaysia - Kuching - On-site,Reboot Monkey,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Document Controller,Harvest E&I Engineering Sdn. Bhd.,"MYR2,036.43 - MYR4,637.11 Per Month",Full Time,Kuala Selangor,"MYR2,036.43 - MYR4,637.11 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Project Planner (Oil - Gas – Primavera P6),Harvest E&I Engineering Sdn. Bhd.,"MYR2,262.71 - MYR7,182.42 Per Month",Full Time,Kuala Selangor,"MYR2,262.71 - MYR7,182.42 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Instrument Technician,Harvest E&I Engineering Sdn. Bhd.,"MYR1,800 - MYR6,000 Per Month",Full Time,Kuala Selangor,"MYR1,800 - MYR6,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Material Controller (E-I),Harvest E&I Engineering Sdn. Bhd.,"MYR1,800 - MYR5,000 Per Month",Full Time,Kuala Selangor,"MYR1,800 - MYR5,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,ZOS Admin,Lavu Tech Solutions Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Shift Supervisor,Baskin-Robbins,"MYR1,850 - MYR2,500 Per Month",Full Time,Kuala Selangor,"MYR1,850 - MYR2,500 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Freelance Teacher (Teach 2-5 Hrs Per Day Only),Grownce Sdn Bhd,"MYR1,000 - MYR2,000 Per Month","Full Time,",Kuala Selangor,"MYR1,000 - MYR2,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,POST BASIC RENAL - HAEMODIALYSIS STAFF NURSE - MEDICAL ASSISTANT,Al-Musoffa Haemodialysis Centre (KL) Sdn Bhd - Cawangan Ijok,"MYR1,700 - MYR3,500 Per Month",Full Time,Kuala Selangor,"MYR1,700 - MYR3,500 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Quantity Surveyor,Cheksern Young Builders Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Accounts Payable Clerk,Quantum,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Site Supervisor,Cheksern Young Builders Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Assistant Technical Manager,Cheksern Young Builders Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Environmental Officer - Ijok,Advancecon Infra Sdn Bhd,"MYR4,000 - MYR4,000 Per Month",Full Time,Kuala Selangor,"MYR4,000 - MYR4,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Executive Commercial Support,Foresight Industries Sdn Bhd,"MYR2,500 - MYR2,800 Per Month",Full Time,Kuala Selangor,"MYR2,500 - MYR2,800 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Manual Tester,Lavu Tech Solutions Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Data Center Technician - Malaysia - Kuching - On-site,Reboot Monkey,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,SITE SAFETY SUPERVISOR,IKRAR JAYA BINA SDN BHD,"MYR4,000 - MYR4,000 Per Month",Full Time,Kuala Selangor,"MYR4,000 - MYR4,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,CIVIL SITE SUPERVISOR,IKRAR JAYA BINA SDN BHD,"MYR2,200 - MYR2,200 Per Month",Full Time,Kuala Selangor,"MYR2,200 - MYR2,200 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Lorry Driver Cum General Worker,Rurutiki Sdn Bhd,"MYR2,400 - MYR2,400 Per Month",Full Time,Kuala Selangor,"MYR2,400 - MYR2,400 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Management Trainee,LTH Group Asia Sdn Bhd,"MYR2,000 - MYR5,000 Per Month",Full Time,Kuala Selangor,"MYR2,000 - MYR5,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Customer Service Representative,Multi-Trans Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Brew Crew - Eco Grandeur,The Coffee Bean & Tea Leaf (M) Sdn Bhd,"MYR2,100 - MYR2,100 Per Month",Full Time,Kuala Selangor,"MYR2,100 - MYR2,100 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Kilang Operator (Cosmetic) - Ijok,Data Management,"MYR1,700 - MYR1,800 Per Month",Full Time,Kuala Selangor,"MYR1,700 - MYR1,800 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Kilang Operator (Cosmetics) - Ijok,TLV Logistics Sdn Bhd,"MYR1,700 - MYR1,800 Per Month",Full Time,Kuala Selangor,"MYR1,700 - MYR1,800 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/6578625-barista-mcdonalds-pandu-lalu-shell-saujana-utama,6578625,Barista ( McDonald’s Pandu Lalu Shell Saujana Utama ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Per Month",N/A,"Kuala Selangor, Selangor","Up to MYR1,500 Per Month",a month ago,Any Skill,sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/17979765-health-advisor-medan-niaga-kuala-sel,17979765,Health Advisor ( MEDAN NIAGA KUALA SEL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kuala Selangor, Selangor","Up to MYR2,100 Per Month",9 days ago,Any Skill,sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/25105345-retail-sales,25105345,Retail Sales,SSF Sdn Bhd,"MYR1,800 - MYR2,500 Per Month",Full Time,"Kuala Selangor, Selangor","MYR1,800 - MYR2,500 Per Month",22 days ago,"Sales Techniques, Sales Strategy",sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/25190592-jualan-runcit,25190592,Jualan Runcit,SSF Sdn Bhd,"MYR1,800 - MYR2,200 Per Month",Full Time,"Kuala Selangor, Selangor","MYR1,800 - MYR2,200 Per Month",5 months ago,"Inventory Management, Customer Service",sepenuh-masa-kuala-selangor
N/A,N/A,R-D Executive (Food Innovation - NPD),Randstad Malaysia,Undisclosed,Full Time,Kuala Selangor,Undisclosed,3 days ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Data Center Technician - Malaysia - Kuching - On-site,Reboot Monkey,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Document Controller,Harvest E&I Engineering Sdn. Bhd.,"MYR2,036.43 - MYR4,637.11 Per Month",Full Time,Kuala Selangor,"MYR2,036.43 - MYR4,637.11 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Project Planner (Oil - Gas – Primavera P6),Harvest E&I Engineering Sdn. Bhd.,"MYR2,262.71 - MYR7,182.42 Per Month",Full Time,Kuala Selangor,"MYR2,262.71 - MYR7,182.42 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Instrument Technician,Harvest E&I Engineering Sdn. Bhd.,"MYR1,800 - MYR6,000 Per Month",Full Time,Kuala Selangor,"MYR1,800 - MYR6,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Material Controller (E-I),Harvest E&I Engineering Sdn. Bhd.,"MYR1,800 - MYR5,000 Per Month",Full Time,Kuala Selangor,"MYR1,800 - MYR5,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,ZOS Admin,Lavu Tech Solutions Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Shift Supervisor,Baskin-Robbins,"MYR1,850 - MYR2,500 Per Month",Full Time,Kuala Selangor,"MYR1,850 - MYR2,500 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Freelance Teacher (Teach 2-5 Hrs Per Day Only),Grownce Sdn Bhd,"MYR1,000 - MYR2,000 Per Month","Full Time,",Kuala Selangor,"MYR1,000 - MYR2,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,POST BASIC RENAL - HAEMODIALYSIS STAFF NURSE - MEDICAL ASSISTANT,Al-Musoffa Haemodialysis Centre (KL) Sdn Bhd - Cawangan Ijok,"MYR1,700 - MYR3,500 Per Month",Full Time,Kuala Selangor,"MYR1,700 - MYR3,500 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Quantity Surveyor,Cheksern Young Builders Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Accounts Payable Clerk,Quantum,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Site Supervisor,Cheksern Young Builders Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Assistant Technical Manager,Cheksern Young Builders Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Environmental Officer - Ijok,Advancecon Infra Sdn Bhd,"MYR4,000 - MYR4,000 Per Month",Full Time,Kuala Selangor,"MYR4,000 - MYR4,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Executive Commercial Support,Foresight Industries Sdn Bhd,"MYR2,500 - MYR2,800 Per Month",Full Time,Kuala Selangor,"MYR2,500 - MYR2,800 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Manual Tester,Lavu Tech Solutions Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Data Center Technician - Malaysia - Kuching - On-site,Reboot Monkey,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,SITE SAFETY SUPERVISOR,IKRAR JAYA BINA SDN BHD,"MYR4,000 - MYR4,000 Per Month",Full Time,Kuala Selangor,"MYR4,000 - MYR4,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,CIVIL SITE SUPERVISOR,IKRAR JAYA BINA SDN BHD,"MYR2,200 - MYR2,200 Per Month",Full Time,Kuala Selangor,"MYR2,200 - MYR2,200 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Lorry Driver Cum General Worker,Rurutiki Sdn Bhd,"MYR2,400 - MYR2,400 Per Month",Full Time,Kuala Selangor,"MYR2,400 - MYR2,400 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Management Trainee,LTH Group Asia Sdn Bhd,"MYR2,000 - MYR5,000 Per Month",Full Time,Kuala Selangor,"MYR2,000 - MYR5,000 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Customer Service Representative,Multi-Trans Sdn Bhd,Undisclosed,Full Time,Kuala Selangor,Undisclosed,a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Brew Crew - Eco Grandeur,The Coffee Bean & Tea Leaf (M) Sdn Bhd,"MYR2,100 - MYR2,100 Per Month",Full Time,Kuala Selangor,"MYR2,100 - MYR2,100 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Kilang Operator (Cosmetic) - Ijok,Data Management,"MYR1,700 - MYR1,800 Per Month",Full Time,Kuala Selangor,"MYR1,700 - MYR1,800 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,Kilang Operator (Cosmetics) - Ijok,TLV Logistics Sdn Bhd,"MYR1,700 - MYR1,800 Per Month",Full Time,Kuala Selangor,"MYR1,700 - MYR1,800 Per Month",a day ago,N/A,sepenuh-masa-kuala-selangor
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-kuala-selangor
https://www.maukerja.my/job/6578625-barista-mcdonalds-pandu-lalu-shell-saujana-utama,6578625,Barista ( McDonald’s Pandu Lalu Shell Saujana Utama ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Kuala Selangor, Selangor","Up to MYR1,500 Sebulan",a month ago,Any Skill,sepenuh-masa-kuala-selangor
